id,name,source_url,artist,license,license_url
dom-von-pisa,Dom von Pisa,https://upload.wikimedia.org/wikipedia/commons/8/85/Pisa_-_Cattedrale_da_Battistero_02.jpg,,,
dom-zu-siena,Dom zu Siena,https://upload.wikimedia.org/wikipedia/commons/7/7c/Duomo_di_Siena-9635.jpg,,,
kathedrale-santa-maria-del-fiore,Kathedrale Santa Maria del Fiore,https://upload.wikimedia.org/wikipedia/commons/1/1b/View_of_Santa_Maria_del_Fiore_in_Florence.jpg,,,
ospedale-degli-innocenti,Ospedale degli Innocenti,https://upload.wikimedia.org/wikipedia/commons/7/76/Piazza_SS_Annunziata_Firenze_Apr_2008_%2818%29-Piazza_SS_Annunziata_Firenze_Apr_2008_%2827%29_%28cropped%29.jpg,,,
pazzi-kapelle,Pazzi-Kapelle (Santa Croce),https://upload.wikimedia.org/wikipedia/commons/4/4d/Bas%C3%ADlica_de_la_Santa_Cruz%2C_Florencia%2C_Italia%2C_2022-09-18%2C_DD_95.jpg,,,
tempio-malatestiano,Tempio Malatestiano,https://upload.wikimedia.org/wikipedia/commons/1/11/Tempio_Malatestiano_Rimini.jpg,,,
santa-maria-novella-fassade,Santa Maria Novella – Fassade,https://upload.wikimedia.org/wikipedia/commons/8/89/Santa_Maria_Novella_%28Florence%29.jpg,,,
sant-andrea-mantua,Sant’Andrea, Mantua,https://upload.wikimedia.org/wikipedia/commons/c/c3/Mantoue_basilique_saint_andre_bis.jpg,,,
palazzo-medici-riccardi,Palazzo Medici-Riccardi,https://upload.wikimedia.org/wikipedia/commons/b/b1/Palazzo_Medici-Riccardi.jpg,,,
palazzo-rucellai,Palazzo Rucellai,https://upload.wikimedia.org/wikipedia/commons/0/0b/Via_della_Vigna_Nuova_18%2C_palazzo_rucellai%2C_02%2C0.jpg,,,
palazzo-strozzi,Palazzo Strozzi,https://upload.wikimedia.org/wikipedia/commons/d/d8/Palazzo_Strozzi_Florenz-1.jpg,,,
palazzo-della-cancelleria,Palazzo della Cancelleria,https://upload.wikimedia.org/wikipedia/commons/1/1f/Parione_-_palazzo_Riario_o_Cancelleria_nuova_1628.JPG,,,
palazzo-farnese,Palazzo Farnese,https://upload.wikimedia.org/wikipedia/commons/7/7c/Palazzo_Farnese_Fassade.jpg,,,
villa-medici-in-poggio-a-caiano-bei-florenz,Villa Medici in Poggio a Caiano (bei Florenz),https://upload.wikimedia.org/wikipedia/commons/b/b0/Villa_di_Poggio_a_Caiano.jpg,,,
tempietto-san-pietro-in-montorio,Tempietto San Pietro in Montorio,https://upload.wikimedia.org/wikipedia/commons/7/76/San_Pietro_in_Montorio_-_esterno.jpg,,,
neubau-dom-st-peter,Neubau St. Peter (Rom),https://upload.wikimedia.org/wikipedia/commons/1/11/St._Peter%27s_Basilica_Rome_-_20140808_2350.jpg,,,
neue-sakristei-sagrestia-nuova,San Lorenzo – Neue Sakristei (Sagrestia Nuova),https://upload.wikimedia.org/wikipedia/commons/2/22/Basilique_San_Lorenzo_-_Florence_%28IT52%29_-_2022-08-31_-_2.jpg,,,
biblioteca-laurenziana,Biblioteca Laurenziana,https://upload.wikimedia.org/wikipedia/commons/d/da/LaurentianLibFromStairway.jpg,,,
porta-pia,Porta Pia (Rom),https://upload.wikimedia.org/wikipedia/commons/9/9f/Porta_Pia_-_internal_side.jpg,,,
palazzo-del-te,Palazzo del Tè,https://upload.wikimedia.org/wikipedia/commons/f/f4/Palazzo_Te_Mantova_4.jpg,,,
palazzo-ducale,Palazzo Ducale (Mantua),https://upload.wikimedia.org/wikipedia/commons/c/c4/Mantua2_BMK.jpg,,,
wohnhaus-des-giulio-romano,Wohnhaus des Giulio Romano,https://upload.wikimedia.org/wikipedia/commons/f/fc/Giulio_Romano_autoportrait.jpg,,,
palazzo-pitti,Palazzo Pitti (Erweiterungen),https://upload.wikimedia.org/wikipedia/commons/e/ee/Collage_Firenze1.jpg,,,
villa-giulia,Villa Giulia (Rom),https://upload.wikimedia.org/wikipedia/commons/5/5a/Villa_Giulia_%28Roma%29_3.jpg,,,
palazzo-farnese-caprarola,Palazzo Farnese (Caprarola),https://upload.wikimedia.org/wikipedia/commons/6/6b/Palazzo_Farnese_%28Caprarola%29.jpg,,,
il-gesu,Il Gesù (Rom),https://upload.wikimedia.org/wikipedia/commons/8/8b/Il_Gesu.jpg,,,
basilika-vicenca,Basilika (Vicenza),https://upload.wikimedia.org/wikipedia/commons/8/81/Basilica_dei_Santi_Felice_e_Fortunato_%28Vicenza%29.jpg,<a href="//commons.wikimedia.org/wiki/User:Archaeodontosaurus" title="User:Archaeodontosaurus">Didier Descouens</a>,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0
palazzo-chiericati,Palazzo Chiericati,https://upload.wikimedia.org/wikipedia/commons/9/94/Palazzo_Chiericati_%28Vicenza%29.jpg,,,
palazzo-valmarana,Palazzo Valmarana,https://upload.wikimedia.org/wikipedia/commons/7/7e/PalazzoValmaranoBraga20070708-01.jpg,,,
villa-rotonda,Villa Rotonda,https://upload.wikimedia.org/wikipedia/commons/8/86/07-Villa-Rotonda-Palladio.jpg,,,
teatro-olimpico,Teatro Olimpico,https://upload.wikimedia.org/wikipedia/commons/c/c0/Interior_of_Teatro_Olimpico_%28Vicenza%29_-_Gradinata.jpg,,,
il-redentore,Il Redentore (Venedig),https://upload.wikimedia.org/wikipedia/commons/4/4a/Chiesa_del_Redentore_retouched.jpg,,,
ch-teau-blois,Château Blois,https://upload.wikimedia.org/wikipedia/commons/0/02/F_-_Schloss_Blois_011.jpg,,,
ch-teau-chambord,Château Chambord,https://upload.wikimedia.org/wikipedia/commons/8/80/France_Loir-et-Cher_Chambord_Chateau_03.jpg,,,
louvre-paris,Louvre (Paris – Lescot-Flügel),https://upload.wikimedia.org/wikipedia/commons/c/c3/West_facade_of_the_Cour_Carr%C3%A9e%2C_Louvre_Palace%2C_Paris_5_October_2017.jpg,,,
ch-teau-anet,Château Anet (mit Kapelle),https://upload.wikimedia.org/wikipedia/commons/0/0b/Ch%C3%A2teau_d%27Anet_%2818e_si%C3%A8cle%29.jpg,,,
alhambra-granada-nasridenpalast-und-palast-karls-v,Alhambra – Palast Karls V.,https://upload.wikimedia.org/wikipedia/commons/5/55/116_Tafel_6_Grenada_Alhambra_-_Plano_del_Palacio_Arabe.jpg,,,
kathedrale-von-granada,Kathedrale von Granada,https://upload.wikimedia.org/wikipedia/commons/0/01/Spain_Andalusia_Granada_BW_2015-10-25_13-20-43.jpg,,,
fugger-kapelle-bei-st-anna,Fugger-Kapelle (St. Anna, Augsburg),https://upload.wikimedia.org/wikipedia/commons/c/c0/Albrecht_D%C3%BCrer_080.jpg,,,
heidelberger-schloss,Heidelberger Schloss – Ottheinrichsbau,https://upload.wikimedia.org/wikipedia/commons/2/2f/G%C3%BCnther_Bayerl_Heidelberg%2C_Ottheinrichsbau_2015.jpg,,,
jesuitenkirche-st-michael-muenchen,Jesuitenkirche St. Michael (München),https://upload.wikimedia.org/wikipedia/commons/5/54/M%C3%BCnchen_Neuhauser_Stra%C3%9Fe_6_Jesuitenkirche_St._Michael_BW_2017-03-13_17-12-30.jpg,,,
ulu-camii,Ulu Camii (Bursa),https://upload.wikimedia.org/wikipedia/commons/5/5f/Ulucami%2CBursa_-_panoramio.jpg,,,
fatih-camii,Fatih Camii (Istanbul),https://upload.wikimedia.org/wikipedia/commons/7/78/FatihMosque.jpg,,,
beyazid-camii-istanbul,Beyazid Camii (Istanbul),https://upload.wikimedia.org/wikipedia/commons/2/22/Hagia_Sophia_Mars_2013.jpg,,,
sueleimaniye-camii-istanbul,Süleymaniye Camii (Istanbul),https://upload.wikimedia.org/wikipedia/commons/0/0a/S%C3%BCleymaniye_Mosque_from_the_Golden_Horn.jpg,,,
selimiye-camii-edirne,Selimiye Camii (Edirne),https://upload.wikimedia.org/wikipedia/commons/e/e3/Ist-Ath_-_99.jpg,,,
st-peter-und-petersplatz,St. Peter (Fassade) und Petersplatz,https://upload.wikimedia.org/wikipedia/commons/1/11/St._Peter%27s_Basilica_Rome_-_20140808_2350.jpg,,,
piazza-del-popolo-zwillingskirchen,Piazza del Popolo – Zwillingskirchen,https://upload.wikimedia.org/wikipedia/commons/b/b4/PIAZZA_DEL_POPOLO_VISTA_AEREA.jpg,,,
santa-susanna,Santa Susanna (Rom),https://upload.wikimedia.org/wikipedia/commons/8/8d/Santa_Susanna_%28Rome%29_-_Front.jpg,,,
santi-luca-e-martina,Santi Luca e Martina (Rom),https://upload.wikimedia.org/wikipedia/commons/a/a5/Santi_Luca_e_Martina_al_Foro_Romano_-_02_-_Panairjdde.jpg,,,
sant-ivo-della-sapienza,Sant’ Ivo della Sapienza,https://upload.wikimedia.org/wikipedia/commons/4/44/Sant%27Ivo_alla_Sapienza_-Rome.jpg,,,
san-giovanni-in-laterano-fassade,San Giovanni in Laterano – Fassade,https://upload.wikimedia.org/wikipedia/commons/5/5f/San_Giovanni_in_Laterano_2021.jpg,,,
piazza-navona-und-sant-agnese,Piazza Navona – Palazzo Pamphili & Sant’ Agnese,https://upload.wikimedia.org/wikipedia/commons/5/50/Sant%27Agnese_in_Agone_%28Rome%29_esterno.jpg,,,
san-carlo-alle-quattro-fontane,San Carlo alle Quattro Fontane,https://upload.wikimedia.org/wikipedia/commons/8/80/San_Carlo_alle_Quattro_Fontane_-_Front.jpg,,,
scala-regia,Scala Regia (Vatikan),https://upload.wikimedia.org/wikipedia/commons/f/fa/Sala_regia%2C_12.jpg,,,
santa-maria-della-pace,Santa Maria della Pace (Rom),https://upload.wikimedia.org/wikipedia/commons/1/1b/Ponte-_Chiesa_di_S.Maria_della_Pace.jpg,,,
sant-andrea-al-quirinale,Sant’ Andrea al Quirinale,https://upload.wikimedia.org/wikipedia/commons/1/15/Sant%27Andrea_al_Quirinale.jpg,,,
santa-maria-in-campitelli,Santa Maria in Campitelli,https://upload.wikimedia.org/wikipedia/commons/2/22/Campitelli_-_santa_maria_in_Portico_1918st.JPG,,,
santa-maria-maggiore-fassade,Santa Maria Maggiore – Fassade (18. Jh.),https://upload.wikimedia.org/wikipedia/commons/c/cc/Italy_-_Verona_-_Cathedral.jpg,,,
spanische-treppe,Spanische Treppe,https://upload.wikimedia.org/wikipedia/commons/4/42/Rom_Spanish_Steps_BW_1.JPG,,,
engelsbruecke-skulpturen,Engelsbrücke – Skulpturen,https://upload.wikimedia.org/wikipedia/commons/8/84/Sant%27Angelo_bridge%2C_dusk%2C_Rome%2C_Italy.jpg,,,
san-lorenzo-turin,San Lorenzo (Turin),https://upload.wikimedia.org/wikipedia/commons/0/04/3017TorinoSLorenzo.jpg,,,
palais-du-luxembourg,Palais du Luxembourg (Paris),https://upload.wikimedia.org/wikipedia/commons/a/af/Palais_du_Luxembourg_%282010%29.jpg,,,
ch-teau-vaux-le-vicomte,Château Vaux-le-Vicomte,https://upload.wikimedia.org/wikipedia/commons/3/39/Paris_-_Vaux_le_Vicomte2.jpg,,,
